31013124340000,13,Resource America_ Inc.,12434,Cowles #2,North Harmony,Medina,0,0,0,1990;
31013114690000,13,Belden & Blake Corporation,11469,Christy 1222a,Pomfret,Medina,10,1526,0,1990;
31003676240000,3,Rigas_ Constantine J.,67624,Blaisdell #2,Ward,Upper Devonian,12,120,0,1991;
31013115620000,13,Belden & Blake Corporation,11562,Bemus 214,Pomfret,Medina,0,0,0,1991;
31013129880000,13,Desert Gas Exploration_ Inc.,12988,Castilone #1,Pomfret,Medina,11,0,0,1991;
31013104480000,13,Lenape Resources_ Inc.,10448,Gullo #1117,Pomfret,Medina,12,1380,5,1992;
31011174420000,11,F & G Exploration,17442,Dougherty 1,Springport,Queenston,12,5530,0,1990;
31011204360000,11,F & G Exploration,20436,Bacon 1,Aurelius,Queenston,12,9677,0,1990;
31013154080000,13,Belden & Blake Corporation,15408,Olmstead_ H #2,Gerry,Medina,12,2898,25,1993;
31011179530000,11,F & G Exploration,17953,Rice 1,Springport,Queenston,12,3939,0,1994;
31013218770000,13,Seneca Resources Corp.,21877,Dayton #7000,Villenova,Medina,12,2651,0,1994;
31013115380000,13,Lenape Resources_ Inc.,11538,Dorman G&M #1237,Pomfret,Medina,11,1461,0,1993;
31013104480000,13,Lenape Resources_ Inc.,10448,Gullo #1117,Pomfret,Medina,9,1236,0,1993;
31013031680000,13,Seneca Resources Corp.,3168,Civilett N. #2023-I,Pomfret,Medina,11,2402,0,1993;
31013135750000,13,Belden & Blake Corporation,13575,Bull 1212,Pomfret,Medina,11,1806,0,1993;
31013112810000,13,Belden & Blake Corporation,11281,Morse 2,Pomfret,Medina,12,2517,107,1994;
31011168440000,11,Dunn_ Walter J,16844,Dunn 1,Scipio,Queenston,12,0,0,1994;
31003103170000,3,Rigas_ Constantine J.,10317,Blaisdell #1,Ward,Upper Devonian,12,70,0,1994;
31013180390000,13,Lenape Resources_ Inc.,18039,Barney 732,Sherman,Medina,11,3138,0,1993;
31013118100000,13,Belden & Blake Corporation,11810,Nosek 1285,Pomfret,Medina,12,477,30,1993;
31013127300000,13,Specialty Bakers_ Inc.,12730,Petribakery #1,Dunkirk,Medina,12,2539,0,1994;
31011204370000,11,F & G Exploration,20437,Bacon 2,Aurelius,Queenston,12,6552,0,1994;
31013117210000,13,Gloor_ Robert,11721,Gloor 1,Pomfret,Medina,12,0,0,1993;
31013109460000,13,Belden & Blake Corporation,10946,Scaccia 1,Pomfret,Medina,12,2303,8,1993;
31013110860000,13,Lenape Resources_ Inc.,11086,Giambra C&L #1192,Pomfret,Medina,12,473,0,1993;
31013109930000,13,Lenape Resources_ Inc.,10993,Dpotter #1182,Pomfret,Medina,12,1018,19,1993;
31013100330000,13,Belden & Blake Corporation,10033,Skinner 319,Pomfret,Medina,12,1967,26,1993;
31013185850000,13,Lenape Resources_ Inc.,18585,McNamara #1,Villenova,Medina,12,2137,160,1993;
31013103750000,13,Belden & Blake Corporation,10375,Demaggio 10,Pomfret,Medina,12,4677,63,1993;
31029184340000,29,Stedman Energy_ Inc.,18434,Decarlo #1,Brant,Medina,12,973,0,1993;
31013108410000,13,Belden & Blake Corporation,10841,Burgun 1166,Pomfret,Medina,5,2379,14,1994;1993
31009203690000,9,L. W. Resources,20369,Ross #1,Perrysburg,Medina,12,200,0,1994;
31013218960000,13,New York Gas & Oil Co_ Inc.,21896,Ehmke_ W #1,Pomfret,Medina,12,5720,0,1993;
31013129890000,13,Desert Gas Exploration_ Inc.,12989,Costello #1,Pomfret,Medina,10,488,0,1993;
31013104610000,13,Belden & Blake Corporation,10461,Hancock #59,Pomfret,Medina,12,790,15,1996;
31011153320000,11,Saxton_ Richard W.,15332,Saxton 2a,Springport,Queenston,0,0,0,1995;
31037204940000,37,United States Gypsum Co.,20494,Amedick_ J. 2,Darien,Medina,12,2278,0,1995;
31013201220000,13,REI-NY_ Inc.,20122,Bargar 8,Ellery,Akron,0,0,0,1995;
31011153320000,11,Saxton_ Richard W.,15332,Saxton 2a,Springport,Queenston,0,0,0,1997;
31029139360000,29,Solar Sportsystems_ Inc.,13936,Fee No 4,Elma,Medina,12,454,0,1995;
31011204370000,11,F & G Exploration,20437,Bacon 2,Aurelius,Queenston,10,6029,0,1995;1995
31011136000000,11,OI Auburn_ Inc.,13600,Ball C & W A102-8,Aurelius,Queenston,12,1753,0,1996;
31013224400000,13,Schreiner Oil & Gas_ Inc.,22440,Reynolds_H 1,Hanover,Medina,12,4026,579,1995;1995
31011157470000,11,OI Auburn_ Inc.,15747,Bench A-119-1,Aurelius,Queenston,12,4580,0,1995;
31121141780000,121,Big Tree_ LLC,14178,Chaffee_ W 1,Perry,Medina,12,1490,15,1995;
31011136390000,11,OI Auburn_ Inc.,13639,Helenski A-104-6,Aurelius,Queenston,12,1653,0,1996;
31011204210000,11,F & G Exploration,20421,Bacon J 3,Springport,Queenston,12,3135,0,1998;
31011155830000,11,F & G Exploration,15583,Bacon 1,Springport,Queenston,12,1205,0,1995;
31011175990000,11,OI Auburn_ Inc.,17599,Wimmer A118-5,Aurelius,Queenston,12,3370,0,1997;
31013109930000,13,Lenape Resources_ Inc.,10993,Dpotter #1182,Pomfret,Medina,5,287,5,1996;
31011195990000,11,F & G Exploration,19599,Bacon 1,Springport,Queenston,12,16067,0,1996;
31011195910000,11,OI Auburn_ Inc.,19591,Delaney A124-4a,Aurelius,Queenston,12,2823,0,1995;
31013111010000,13,Basic Energy Producers_ Inc.,11101,Wallace 2,Pomfret,Medina,0,0,0,1996;
31011205720000,11,F & G Exploration,20572,Bacon 4,Springport,Queenston,12,3789,0,1997;
31011206820000,11,F & G Exploration,20682,Gable 1,Springport,Queenston,12,3537,0,1996;
31013208070000,13,Howell_ George E. and Betty L.,20807,G. Howell 1,Busti,Medina,12,205,0,1995;1995
31013113090000,13,Belden & Blake Corporation,11309,Jopek 1,Pomfret,Medina,0,837,0,1996;
31013185820000,13,Linn Operating_ LLC,18582,Crowell_ D 1-208,Villenova,Medina,11,2083,0,1995;
31013114060000,13,Lenape Resources_ Inc.,11406,Darby 1,Stockton,Medina,0,0,0,1997;
31011168720000,11,F & G Exploration,16872,Patterson 2,Springport,Queenston,12,4076,0,1997;
31013211770000,13,Great Lakes Energy Partners,21177,Busch_ A #1,Pomfret,Medina,12,3462,0,1996;
31029132280000,29,Stedman Energy_ Inc.,13228,Garcia #1,Evans,Medina,4,349,0,1999;
31013118100000,13,Belden & Blake Corporation,11810,Nosek 1285,Pomfret,Medina,12,789,40,1998;
31013117840000,13,Belden & Blake Corporation,11784,Stafford 1292,Pomfret,Medina,0,3726,0,1998;
31029050900000,29,Seneca Resources Corp.,5090,NFG(Huff)#2370-I,Evans,Medina,12,229,0,1998;
31013129890000,13,Desert Gas Exploration_ Inc.,12989,Costello #1,Pomfret,Medina,5,351,0,1999;
31013014800000,13,Harp_ J. Stephen,1480,Sullivan J.A. #2 #2027-I,Pomfret,Medina,0,0,0,1999;
31013119840000,13,20 Bliss Street_ Inc.,11984,Joy 1,Pomfret,Medina,12,3101,,2000;
31013102980000,13,Lenape Resources_ Inc.,10298,Crowe Paul Jr 1,Pomfret,Medina,1,100,0,2000;
31013603310000,13,Seneca Resources Corp.,60331,Hall 31947-I,Pomfret,Medina,9,2162,11,1999;
31013124130000,13,Belden & Blake Corporation,12413,Dorman 1349,Pomfret,Medina,12,2041,230,1998;
31013122110000,13,Belden & Blake Corporation,12211,Lesch 1357,Pomfret,Medina,12,1361,0,2000;
31013108410000,13,Belden & Blake Corporation,10841,Burgun 1166,Pomfret,Medina,1,411,3,1998;
31013116640000,13,Resource America_ Inc.,11664,Morse #1,North Harmony,Medina,0,0,,2000;
31029128750000,29,Stedman Energy_ Inc.,12875,Sullivan M #1,Evans,Medina,0,0,,2000;
31003673670000,3,Dick_ James F Jr,67367,Cobble #02,Wirt,Richburg,12,0,0,1994;
31101161020000,101,Bath_ Village of,16102,Ward 1,Bath,Marcellus,12,693,0,1989;
31009113970000,9,Beaver_ Albert H,11397,Torrey 1,Olean,Chipmunk,12,1,,2000;
31121137130000,121,GFS Energy_ Inc.,13713,Pierson 2,Perry,Medina,0,0,0,1993;
31013178490000,13,L. W. Resources,17849,Hanson #2,Gerry,Medina,12,200,,2000;
31029200510000,29,Stedman Energy_ Inc.,20051,Gash 1,Elma,Medina,12,1164,20,1993;
31003672150000,3,Freeman Oil Co.,67215,Nobles #i18,Amity,Scio,0,0,0,1987;
31013168670000,13,REI-NY_ Inc.,16867,Josephson 1,Gerry,Medina,12,5235,0,1993;
31013160620000,13,REI-NY_ Inc.,16062,Rearick 1,Gerry,Medina,12,3517,0,1993;
31029607940000,29,Lewis_ Donald O,60794,Mest #1,Holland,Medina,0,0,0,1986;
31029127830000,29,Howles_ William,12783,Lein 1,Elma,Medina,1,26,0,1988;
31013160660000,13,REI-NY_ Inc.,16066,Damon 1,Gerry,Medina,12,6867,0,1990;
31009226750000,9,Nornew_ Inc.,22675,Shetler M. #1,Leon,Medina,0,0,0,1998;
31003107990000,3,Freeman Oil Co.,10799,Nobles W-7,Amity,Scio,0,0,0,1987;
31003004380000,3,unknown,438,Voided Permit,,None Specified,0,0,,2000;
31029201250000,29,Stedman Energy_ Inc.,20125,Gash 3,Elma,Medina,12,4715,35,1990;
31069606670000,69,unknown,60667,Voided Permit,,None Specified,12,463,0,1988;
31029129160000,29,Weil Resources_ Inc.,12916,Mann #1,Evans,Medina,0,0,0,1992;
31121136660000,121,Kelly_ Michael A.,13666,Kelly 1,Perry,Medina,0,0,0,1989;
31075123990000,75,Yager_ Eileen R.,12399,Yager,Richland,Trenton,0,0,0,1988;
31037603220000,37,unknown,60322,Voided Permit,,None Specified,0,818,0,1985;
31121148030000,121,Hydrocarbon Generation_ Inc.,14803,Hayes,Java,Medina,0,0,0,1998;
31069603380000,69,unknown,60338,Voided Permit,,None Specified,12,2736,0,1989;
31013185360000,13,GFS Energy_ Inc.,18536,Barton 1,Gerry,Medina,0,0,20,1999;
31003673660000,3,Dick_ James F Jr,67366,Cobble #01,Wirt,Richburg,12,0,0,1994;
31029223900000,29,Envirogas_ Inc.,22390,Henderson H #1,Elma,Medina,12,0,0,1998;
31013165090000,13,REI-NY_ Inc.,16509,McChesney 3,Gerry,Medina,8,2939,0,1991;
31009186020000,9,Fancher_ Mark,18602,Merrill #1,Dayton,Medina,12,0,0,1994;
31069606670000,69,unknown,60667,Voided Permit,,None Specified,0,543,0,1987;
31013160510000,13,REI-NY_ Inc.,16051,Tompsett 2,Gerry,Medina,12,1087,0,1992;
31029156850000,29,L. W. Resources,15685,Pingitore #2,Brant,Medina,0,0,0,1997;
31029223270000,29,Great Lakes Energy Partners,22327,Plavcan/Koch #1,Elma,Medina,12,3279,0,1997;
31013137530000,13,Eclipse Energy Company_ LLC,13753,Bielat 1021,Dunkirk City,Medina,0,0,0,1995;
31013156960000,13,Great Lakes Energy Partners,15696,Peru_ P 1,Ellicott,Medina,11,5956,0,1989;
31013183390000,13,Chautauqua Energy_  Inc.,18339,Main #1,Gerry,Medina,12,6100,165,1990;
31013217700000,13,Seneca Resources Corp.,21770,Singer-Setser #7334,Busti,Medina,12,1853,45,1998;
31013192150000,13,Kastle Resources Enterprises_ Inc.,19215,Brehm 2,Cherry Creek,Medina,12,1049,0,1993;
31029137830000,29,Frey Well Drilling_ Inc.,13783,Phenning 1,Marilla,Medina,10,474,0,1988;
31013184220000,13,Great Lakes Energy Partners,18422,Blood_J 1,Ellington,Medina,12,2015,0,1993;
31029163010000,29,Stedman Energy_ Inc.,16301,Lindsay 1,Eden,Medina,11,1455,14,1992;
31029211490000,29,Weil Resources_ Inc.,21149,Hitchings #1,Aurora,Onondaga,0,0,0,1997;
31029132670000,29,P & S Drilling_ Inc.,13267,Smith #1,Concord,Medina,12,30,0,1996;
31013180640000,13,Lenape Resources_ Inc.,18064,Newhouse 720,Mina,Medina,11,1413,40,1998;
31013181160000,13,GFS Energy_ Inc.,18116,Olson Unit #5,Gerry,Medina,0,212,0,1989;
31037194800000,37,United States Gypsum Co.,19480,Klotzbach_ A. #1,Alabama,Medina,11,115,20,1998;
31013168250000,13,Great Lakes Energy Partners,16825,Hogenboom_ N 1a,Clymer,Medina,12,2083,50,1993;
31013224400000,13,Schreiner Oil & Gas_ Inc.,22440,Reynolds_H #1,Hanover,Medina,9,2409,50,1997;
31013169880000,13,Universal Resources Holdings _ Inc.,16988,Drozdowski_ G. #1,Charlotte,Medina,9,2395,0,1999;
31029133120000,29,Strippit Inc.,13312,Fee #2,Newstead,Medina,12,1310,0,1991;
31013130790000,13,Belden & Blake Corporation,13079,Depew 545,Charlotte,Medina,7,70,0,1992;
31009170260000,9,Eastern American Energy Corp.,17026,Blood Unit #1,Randolph,Medina,12,4542,0,1987;
31029217650000,29,Weil Resources_ Inc.,21765,Adams #1,Aurora,Onondaga,0,0,0,1998;
31013179000000,13,Stedman Energy_ Inc.,17900,Smith_ K. Unit #1,Harmony,Medina,0,0,0,1990;
31037029350000,37,Seneca Resources Corp.,2935,Hunt #1876-I,Pembroke,Medina,11,579,2,1998;
31037194020000,37,Subsea Oil & Gas_ Inc.,19402,Staebell 1,Pembroke,Medina,12,5061,0,1988;
31013111420000,13,Green_ Laura,11142,Green 'fee' 2,Portland,Medina,0,0,0,1999;
31013159780000,13,Nornew_ Inc.,15978,Fenton W 1,Carroll,Medina,12,1032,0,1987;
31013148610000,13,Great Lakes Energy Partners,14861,Aldewein Acres 3,Westfield,Medina,6,1456,0,1995;
