County,Company Name,API Hole Number,Well Name,Town,Producing Formation,Months in Production,Gas Produced MCF,Water Produced bbl,Reporting Year
13,REI-NY_ Inc.,17715,Piazza 3,Gerry,Medina,0,1568,1,1989
13,Belden & Blake Corporation,9870,Nickerson 9,Pomfret,Medina,12,4966,44,1987
13,Belden & Blake Corporation,11309,Jopek 1,Pomfret,Medina,12,4022,17,1987
13,J.M. Resources_ Inc.,14326,Lepp #4,Pomfret,Medina,12,4502,80,1987
13,Belden & Blake Corporation,12214,Siebert 1360,Pomfret,Medina,2,765,0,1987
13,Belden & Blake Corporation,12102,Wick 1317,Hanover,Medina,10,745,0,1989
29,Stedman Energy_ Inc.,19987,Gugino #3,Brant,Medina,12,3052,20,1989
11,OI Auburn_ Inc.,13553,Pollard A1098,Aurelius,Queenston,12,3790,0,1988
13,Lenape Resources_ Inc.,18566,Erwin 654,Ripley,Medina,11,3011,91,1988
13,Seneca Resources Corp.,19351,Nagel #6451,Villenova,Medina,12,4828,13,1992
13,Belden & Blake Corporation,15408,Olmstead_ H #2,Gerry,Medina,12,2898,25,1993
13,Belden & Blake Corporation,11281,Morse 2,Pomfret,Medina,12,2517,107,1994
13,Belden & Blake Corporation,11810,Nosek 1285,Pomfret,Medina,12,477,30,1993
13,Belden & Blake Corporation,10946,Scaccia 1,Pomfret,Medina,12,2303,8,1993
13,Lenape Resources_ Inc.,10993,Dpotter #1182,Pomfret,Medina,12,1018,19,1993
13,Belden & Blake Corporation,10033,Skinner 319,Pomfret,Medina,12,1967,26,1993
13,Lenape Resources_ Inc.,18585,McNamara #1,Villenova,Medina,12,2137,160,1993
13,Belden & Blake Corporation,10375,Demaggio 10,Pomfret,Medina,12,4677,63,1993
13,Belden & Blake Corporation,10841,Burgun 1166,Pomfret,Medina,5,2379,14,1994
13,Belden & Blake Corporation,10461,Hancock #59,Pomfret,Medina,12,790,15,1996
13,Schreiner Oil & Gas_ Inc.,22440,Reynolds_H 1,Hanover,Medina,12,4026,279,1995
121,Big Tree_ LLC,14178,Chaffee_ W 1,Perry,Medina,12,1490,15,1995
13,Lenape Resources_ Inc.,10993,Dpotter #1182,Pomfret,Medina,5,287,5,1996
13,Belden & Blake Corporation,11810,Nosek 1285,Pomfret,Medina,12,789,40,1998
